method,run_label,threshold,n_total,n_kept,coverage,corrected_accuracy_kept,corrected_error_kept,baseline_accuracy_kept,delta_accuracy_pp_kept,intervened_rate_kept
E1,seed456,0.42500000000000004,2000,1914,0.957,0.7962382445141066,0.20376175548589337,0.6363636363636364,15.987460815047028,1.0
E1,seed456,0.45,2000,1938,0.969,0.7966976264189887,0.20330237358101133,0.6377708978328174,15.892672858617129,1.0
E1,seed456,0.47500000000000003,2000,1965,0.9825,0.7969465648854962,0.2030534351145038,0.6361323155216285,16.081424936386767,1.0
E1,seed456,0.5,2000,1966,0.983,0.7970498474059003,0.20295015259409965,0.6363173957273652,16.07324516785351,1.0
E1,seed456,0.525,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed456,0.55,2000,1989,0.9945,0.7963800904977375,0.2036199095022625,0.6354952237305178,16.08848667672197,1.0
E1,seed456,0.5750000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed456,0.6000000000000001,2000,1998,0.999,0.7972972972972973,0.20270270270270274,0.6361361361361362,16.116116116116107,1.0
E1,seed456,0.625,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.65,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.675,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.7000000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.7250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.75,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.775,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.8,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.8250000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.8500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.875,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.9,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.925,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.9500000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,0.9750000000000001,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E1,seed456,1.0,2000,2000,1.0,0.7975,0.2025,0.6355,16.200000000000003,1.0
E12b,seed123,0.0,2000,62,0.031,0.4032258064516129,0.5967741935483871,0.4032258064516129,0.0,0.0
E12b,seed123,0.025,2000,143,0.0715,0.5594405594405595,0.4405594405594405,0.5594405594405595,0.0,0.0
E12b,seed123,0.05,2000,143,0.0715,0.5594405594405595,0.4405594405594405,0.5594405594405595,0.0,0.0
E12b,seed123,0.07500000000000001,2000,145,0.0725,0.5517241379310345,0.4482758620689655,0.5517241379310345,0.0,0.0
E12b,seed123,0.1,2000,404,0.202,0.6410891089108911,0.3589108910891089,0.6410891089108911,0.0,0.0
E12b,seed123,0.125,2000,406,0.203,0.6403940886699507,0.35960591133004927,0.6403940886699507,0.0,0.0
